;name;satisfaction_level;last_evaluation;number_projects;average_monthly_hours;time_spent_company;work_accident;left;promotion_last_5_years;department;salary;salary_level
10228;BUONO;0.63;0.7;6;141;3;1;0;0;marketing;medium;2
14212;PLEASANTS;0.8;0.86;5;262;6;0;2;0;sales;medium;2
11816;BAST;0.8;0.6;5;217;3;0;0;0;management;high;3
11019;ROBESON;0.78;0.96;2;285;3;0;0;0;sales;high;3
5970;PEABODY;0.61;0.83;5;236;2;0;1;0;sales;medium;2
7840;LOVELY;0.71;0.55;5;262;3;0;1;0;support;medium;2
9415;GUAY;0.25;0.76;6;182;3;0;4;0;accounting;low;1
5367;FRAUSTO;0.92;0.58;3;261;3;1;0;0;sales;medium;2
13712;SCHIFFER;0.82;0.79;3;176;3;0;1;0;technical;low;1
10036;ROUX;0.85;0.46;3;123;5;1;0;0;technical;low;1
2476;OH;0.58;0.77;4;196;2;1;0;0;technical;low;1
14819;BELAND;0.45;0.49;2;134;3;0;1;0;RandD;medium;2
13991;SALIM;0.82;0.67;4;156;3;0;0;0;product_mng;low;1
8231;REICHARD;0.18;0.51;5;159;6;0;4;0;IT;medium;2
2295;VALLEJO;1.0;0.86;4;161;2;0;0;0;marketing;high;3
11493;CULLISON;0.51;0.64;3;203;3;0;2;0;sales;low;1
12576;MILLETTE;0.48;0.78;2;198;2;0;1;0;technical;medium;2
5308;ROUNDTREE;0.81;0.92;5;255;4;1;0;0;technical;low;1
5064;FRIESEN;0.45;0.53;3;181;4;1;2;0;accounting;low;1
1726;ENGLE;0.45;0.51;2;137;3;0;1;0;support;low;1
10870;ROZELL;0.63;0.75;4;175;4;0;1;0;hr;medium;2
4609;MOYE;0.98;0.79;4;138;3;0;0;0;accounting;low;1
6922;HELLMAN;0.48;0.41;5;286;3;0;1;0;support;high;3
14252;LEVINS;0.45;0.48;2;158;3;0;2;0;technical;low;1
9839;ENGELS;0.37;0.41;6;101;3;0;2;0;product_mng;low;1
8513;SHACKLEFORD;0.3;0.98;2;109;4;1;4;0;technical;low;1
11065;BRUCKNER;0.43;0.96;3;109;6;0;4;0;technical;low;1
2296;STARKEY;0.52;0.53;2;163;2;0;1;0;marketing;low;1
4904;KINARD;0.7;0.85;4;232;3;0;0;0;sales;medium;2
9254;DUPREY;0.64;0.48;4;267;2;1;1;0;sales;low;1
1216;RODRIQUEZ;0.44;0.56;2;127;3;0;1;0;IT;low;1
2700;XU;0.64;0.59;3;174;3;1;0;0;accounting;low;1
2054;BARTLEY;0.85;0.6;3;182;3;0;0;0;IT;medium;2
13119;INGE;0.47;0.46;2;152;2;0;1;0;IT;medium;2
12378;MILLWOOD;0.31;0.56;4;238;2;0;1;0;accounting;medium;2
13190;LEIST;0.97;0.63;5;258;2;0;0;0;IT;medium;2
1600;STANFORD;0.11;0.93;7;296;4;0;3;0;RandD;low;1
10535;MELLEN;0.97;0.81;3;145;3;0;0;0;support;low;1
2452;GAVIN;0.41;0.4;2;194;2;0;2;0;sales;low;1
4747;WAINWRIGHT;0.78;0.58;3;224;2;0;0;0;sales;medium;2
10421;STANSELL;0.61;0.84;3;206;2;0;1;0;technical;low;1
4034;CLEM;0.26;0.81;5;139;4;0;1;0;product_mng;medium;2
3729;SANTILLAN;0.9;0.66;3;261;3;1;0;0;product_mng;medium;2
13021;HOLLERAN;0.68;0.76;3;260;4;0;2;0;support;low;1
6210;ROOS;0.98;0.96;5;183;3;1;0;0;accounting;medium;2
580;RICHARD;0.44;0.51;2;145;3;0;2;0;support;low;1
7863;SELMAN;1.0;0.59;3;253;3;0;1;0;support;low;1
6276;RADKE;0.56;0.73;4;148;3;0;3;0;sales;low;1
11976;BROSNAN;0.9;0.82;3;133;8;0;3;0;marketing;medium;2
9349;BARBERA;0.66;0.72;4;137;3;0;2;0;technical;low;1
8807;WOODRUM;0.49;0.68;3;181;3;0;3;0;accounting;medium;2
4805;HUEBNER;0.49;0.61;3;148;2;1;0;0;RandD;low;1
608;MATHEWS;0.45;0.49;2;134;3;0;1;0;RandD;medium;2
12174;VEILLEUX;0.7;0.53;2;274;4;0;2;0;sales;low;1
3945;ASBURY;0.97;0.53;4;247;3;0;0;0;support;low;1
123;FORD;0.11;0.84;6;300;5;1;3;0;support;low;1
3960;SHANAHAN;0.5;0.55;3;188;2;0;1;0;product_mng;medium;2
9205;HORNBERGER;0.92;0.57;3;191;3;0;1;0;support;low;1
4853;BARRINGER;0.68;0.85;3;243;4;0;1;0;technical;medium;2
13622;HEPP;0.94;0.51;6;239;5;0;0;0;sales;medium;2
7885;ODLE;0.72;0.6;3;265;2;1;0;0;sales;high;3
8433;HUHN;0.54;0.53;4;245;2;0;3;0;technical;low;1
14811;HOWSER;0.77;0.98;5;259;6;0;3;0;product_mng;low;1
12582;PAIR;0.74;0.87;5;242;5;0;1;0;support;medium;2
12861;EDGELL;0.59;0.69;3;162;3;0;1;0;technical;low;1
11041;VILLELA;0.48;0.49;3;268;3;0;2;0;hr;low;1
12085;LOVETTE;0.11;0.87;6;305;4;0;4;0;marketing;low;1
3913;DOUCETTE;0.19;0.86;4;192;4;0;3;0;sales;low;1
2896;BACH;0.6;0.99;3;187;2;0;1;0;RandD;low;1
6243;AVANT;0.29;0.88;6;183;4;0;3;0;IT;medium;2
14921;OVERBECK;0.1;0.86;6;283;4;0;4;0;support;low;1
1052;KUHN;0.37;0.48;2;129;3;0;1;0;IT;medium;2
1785;GILLIS;0.09;0.96;7;264;4;0;3;0;accounting;medium;2
4965;BRODY;0.77;0.89;2;215;5;1;0;0;management;medium;2
1190;DOHERTY;0.11;0.89;6;264;4;0;4;0;support;low;1
9601;HALLIGAN;0.61;0.79;5;269;2;0;3;0;management;low;1
10675;CRAIGHEAD;0.36;0.55;3;191;3;0;1;0;product_mng;high;3
13448;FORCIER;0.24;0.5;4;282;4;1;3;0;support;low;1
4996;RATHBUN;0.53;0.92;4;223;3;1;1;0;technical;low;1
11063;DAI;0.8;0.86;3;203;3;0;0;0;support;medium;2
6340;HAMMACK;0.73;0.74;4;181;4;0;2;0;marketing;low;1
9206;GRAMS;0.51;0.51;4;189;3;0;3;0;support;low;1
12154;BLOMBERG;0.39;0.48;2;160;3;0;3;0;sales;low;1
11615;ROSENZWEIG;0.87;0.89;4;225;8;0;4;0;marketing;low;1
10084;REIMERS;0.63;0.41;3;180;5;1;1;0;marketing;medium;2
14962;BRACAMONTES;0.78;0.66;3;164;3;0;1;0;sales;low;1
2641;TROUT;0.87;0.68;4;246;2;0;0;0;support;medium;2
10945;KINNARD;0.24;0.42;5;210;5;0;4;0;accounting;low;1
11748;HARLAND;0.99;0.6;4;209;8;1;1;0;IT;medium;2
251;WEBER;0.79;0.92;5;254;6;0;1;0;sales;low;1
315;MALDONADO;0.73;0.86;4;245;6;0;1;0;sales;low;1
9314;SWINFORD;0.74;0.95;5;170;4;0;1;0;technical;medium;2
6787;KOVAL;0.96;0.85;5;171;2;0;0;0;RandD;medium;2
12225;HEFFRON;0.9;0.97;4;258;5;0;1;0;accounting;low;1
11387;TRIGGS;0.43;0.46;2;186;2;0;1;0;product_mng;low;1
9589;PATTY;0.24;0.65;3;143;4;0;4;0;support;medium;2
4812;LARGE;0.15;0.91;2;207;3;0;3;0;technical;medium;2
4014;COVERT;0.81;0.78;4;159;3;0;0;0;support;low;1
8708;BOZARTH;0.16;0.66;6;229;6;0;4;0;marketing;low;1
8611;COLGAN;0.55;0.57;5;280;6;1;1;0;IT;medium;2
5713;NICKELL;0.59;0.59;3;173;3;0;3;0;IT;low;1
10755;BALCOM;0.29;0.91;4;183;4;0;3;0;RandD;low;1
14695;LUBY;0.38;0.52;2;145;3;0;3;0;sales;low;1
7790;ARMITAGE;0.28;0.66;3;184;2;0;4;0;marketing;low;1
14414;SHEARD;0.1;0.93;6;256;4;0;4;0;support;low;1
5043;ROCCO;0.49;0.76;3;257;2;1;1;0;marketing;medium;2
4267;STEPHAN;0.64;0.89;3;175;3;1;0;0;product_mng;high;3
13069;BJERKE;0.53;0.77;4;259;2;1;0;1;sales;medium;2
2433;HERRINGTON;0.87;0.84;5;137;2;0;0;0;product_mng;low;1
3004;KONG;0.42;0.89;6;188;5;1;1;0;sales;low;1
1348;MCELROY;0.89;0.83;5;130;4;1;0;0;support;medium;2
11953;MICHELL;0.48;0.72;3;143;4;0;2;0;sales;medium;2
13840;GARDENER;0.66;0.65;3;272;10;0;4;0;IT;medium;2
6992;LITTON;0.63;0.94;4;145;3;0;1;0;technical;medium;2
9529;BERARDI;0.51;0.88;5;225;2;1;1;0;IT;low;1
9909;JEPSON;0.87;0.41;3;219;3;1;0;0;IT;low;1
14926;DARLEY;0.85;0.87;5;245;5;0;1;0;technical;low;1
14543;MUSIAL;0.09;0.98;6;271;4;0;4;0;sales;low;1
1841;MCCAIN;0.84;1.0;5;242;5;0;1;0;sales;low;1
5142;MONEY;0.5;0.88;4;275;5;0;4;0;accounting;low;1
11068;ALAMO;0.12;0.49;4;191;5;0;4;0;IT;low;1
8382;ULLRICH;0.31;0.57;4;200;4;0;3;0;IT;medium;2
10237;FARWELL;0.88;0.81;4;235;6;0;1;0;sales;medium;2
8424;HATHCOCK;0.86;0.87;3;268;2;0;0;0;sales;high;3
2864;FINE;0.64;0.66;3;218;3;0;1;0;technical;low;1
9198;SCALA;0.91;0.9;3;169;3;0;1;0;technical;low;1
6193;MCPHAIL;0.73;0.97;3;165;2;0;2;0;sales;low;1
11582;VEIT;0.58;0.91;3;195;10;0;4;0;support;low;1
9562;URBANO;0.76;0.74;3;173;2;0;1;0;sales;low;1
13485;LIKENS;0.48;0.84;4;186;7;0;4;1;management;medium;2
6921;VARGHESE;0.15;0.67;5;249;5;0;4;0;support;high;3
7755;CICCONE;0.66;0.72;3;135;2;0;1;0;support;medium;2
11066;BRANCO;0.7;0.54;5;263;3;0;1;0;technical;low;1
14121;GILLS;0.37;0.92;4;211;7;0;4;0;sales;high;3
4077;MENDES;0.62;0.74;4;155;3;0;0;0;hr;medium;2
4229;FERRARI;0.74;0.94;3;132;3;0;0;0;accounting;medium;2
4833;KAUFMANN;0.22;0.88;5;154;5;0;3;0;sales;low;1
14465;BARATTA;0.6;0.92;2;258;5;0;4;0;sales;low;1
9324;SLY;0.57;0.66;4;158;2;0;2;0;sales;low;1
9422;LAMOTHE;0.91;0.53;4;212;3;0;1;0;technical;low;1
13346;SLAWSON;0.56;0.48;5;192;2;1;0;0;technical;medium;2
2398;BAUGHMAN;0.54;0.93;4;161;4;1;0;0;hr;low;1
10813;HASHIMOTO;0.76;0.88;5;265;4;0;1;0;support;low;1
14183;IMEL;0.55;0.81;3;239;8;0;4;0;accounting;high;3
1573;GREENBERG;0.11;0.9;5;307;4;0;4;0;support;low;1
8802;TRULL;0.77;0.59;4;153;3;0;0;0;sales;medium;2
3081;KUNTZ;0.97;0.81;3;249;2;0;0;0;sales;low;1
3450;RAWLINGS;0.89;0.58;4;232;2;0;0;0;sales;low;1
2131;NUGENT;0.82;0.93;4;185;2;0;0;0;RandD;medium;2
183;KELLEY;0.11;0.8;6;285;4;0;3;0;accounting;medium;2
3885;WENTZ;0.92;0.69;4;149;6;1;0;0;RandD;medium;2
7418;BRAWNER;0.99;0.57;4;216;3;0;0;0;sales;high;3
2060;ENNIS;0.7;0.53;4;178;2;0;0;0;marketing;medium;2
1858;DARNELL;0.38;0.47;2;128;3;0;1;0;sales;medium;2
3196;BORGES;0.66;0.59;3;204;3;0;0;0;product_mng;high;3
12982;SEGARS;0.97;0.74;4;209;2;0;0;0;sales;low;1
7616;MACKIN;0.71;0.8;5;248;4;0;1;0;management;medium;2
11672;NITZ;0.5;0.68;3;245;4;0;2;0;marketing;medium;2
9358;DONOGHUE;0.75;0.49;4;246;3;0;1;0;support;low;1
5257;CHILTON;0.83;0.56;4;269;3;0;1;0;product_mng;low;1
254;BURTON;0.6;0.92;2;258;5;0;2;0;sales;low;1
8406;GRUNDY;0.57;0.54;3;157;4;1;0;0;sales;high;3
1638;YBARRA;0.42;0.55;2;146;3;0;1;0;hr;low;1
4224;COLLETT;0.83;0.68;4;273;2;0;0;0;sales;low;1
3890;JOE;0.42;0.56;2;103;3;1;0;0;marketing;medium;2
1512;MCGHEE;0.45;0.52;2;143;3;0;1;0;IT;medium;2
8559;MELENDREZ;0.55;0.55;4;211;4;0;3;0;sales;low;1
547;CLAYTON;0.37;0.5;2;141;3;0;2;0;sales;low;1
1698;CORNELIUS;0.1;0.8;6;292;4;0;3;0;sales;medium;2
6940;BLAIN;0.6;0.73;5;203;2;0;1;0;IT;medium;2
9069;QUADE;0.39;0.75;5;286;5;0;4;0;IT;low;1
3036;BRANSON;0.71;0.77;3;145;3;0;0;0;technical;high;3
282;VALDEZ;0.83;0.92;5;267;6;0;1;0;support;low;1
7149;GURNEY;0.38;0.47;3;189;5;0;4;0;support;medium;2
3162;ALMANZA;0.64;0.91;5;246;3;0;1;0;hr;low;1
14213;PERREIRA;0.11;0.88;7;272;4;0;3;0;sales;medium;2
3187;HARDWICK;0.56;0.9;4;115;3;0;0;0;technical;medium;2
3910;KELSO;0.67;0.72;4;159;2;0;1;0;sales;low;1
6083;ROBEY;0.19;0.76;3;107;5;0;4;0;support;low;1
5217;FAWCETT;0.87;0.5;4;267;2;1;0;0;accounting;medium;2
294;BECK;0.1;0.93;6;253;4;0;3;0;IT;medium;2
8352;COURSEY;0.73;0.98;3;227;2;1;0;0;hr;high;3
8889;ALMODOVAR;0.2;0.75;3;235;4;0;4;0;technical;high;3
11578;BRASS;0.76;0.56;5;222;10;0;4;0;management;high;3
13286;MAZZELLA;0.82;0.89;4;239;2;0;0;0;product_mng;medium;2
4730;WALLING;0.69;0.9;6;224;4;0;0;1;RandD;low;1
6204;MANCHESTER;0.49;0.68;4;201;4;0;3;0;sales;medium;2
7134;SOLER;0.86;0.88;4;274;3;0;1;0;hr;medium;2
14107;WHIPKEY;0.72;0.99;3;143;4;0;1;0;sales;low;1
13514;RAINBOLT;0.5;0.95;3;198;4;0;3;0;accounting;low;1
3326;GASKINS;0.94;0.97;5;197;5;1;0;0;technical;low;1
8620;TRIGG;0.74;0.61;3;228;2;1;0;0;IT;low;1
2909;WHARTON;0.77;0.61;4;223;3;0;0;0;marketing;medium;2
12086;DEDRICK;0.17;0.84;5;232;3;0;3;0;sales;low;1
14292;SPIESS;0.38;0.49;2;151;3;0;3;0;technical;low;1
6565;DELK;0.48;0.69;3;105;3;0;3;0;support;low;1
12674;HIRSH;0.46;0.5;2;157;3;0;2;0;IT;low;1
14306;MCDOUGLE;0.37;0.51;2;155;3;0;3;0;sales;low;1
8930;ALSUP;0.56;0.86;4;181;3;0;2;0;marketing;medium;2
1897;CAGLE;0.1;0.94;7;264;4;0;2;0;IT;medium;2
2150;SAUER;0.69;0.74;3;215;2;0;1;0;sales;low;1
11757;RUNDLE;0.73;0.78;3;262;7;1;1;1;management;high;3
6077;WOOLARD;0.97;0.77;5;223;2;0;0;0;support;low;1
7854;BRODEUR;0.3;0.39;3;193;3;1;3;0;IT;low;1
4333;VILLAGOMEZ;0.67;0.57;5;215;4;0;1;0;technical;low;1
12942;RENE;0.89;0.57;4;176;4;0;0;0;support;high;3
8267;PHARR;0.91;0.93;5;158;4;0;0;0;sales;medium;2
8141;STELLY;0.61;0.7;5;157;4;0;2;0;support;low;1
9125;ADAMES;0.81;0.97;3;133;3;0;1;0;technical;medium;2
12591;MCLENNAN;0.66;0.67;2;255;3;0;1;0;technical;low;1
8770;KREGER;0.57;0.46;3;207;3;0;2;0;product_mng;medium;2
13112;SAY;0.66;0.91;4;234;2;1;0;0;IT;medium;2
13764;CANNELLA;0.96;0.55;3;164;3;0;0;0;sales;medium;2
9127;BRIDWELL;0.76;0.6;5;244;3;1;0;0;technical;low;1
1350;FUNK;0.84;0.89;4;245;5;1;0;0;support;medium;2
13565;FOUTZ;0.62;0.97;2;271;3;0;2;0;sales;low;1
3051;FENNELL;0.84;0.47;3;125;4;0;0;0;RandD;low;1
13689;OWNBY;0.57;0.78;3;134;3;0;1;0;RandD;medium;2
2019;ADDISON;0.48;0.84;4;252;3;0;1;0;technical;medium;2
8470;BUCKLER;0.71;0.8;5;192;3;0;0;0;RandD;medium;2
370;SHARP;0.37;0.45;2;142;3;0;2;0;IT;low;1
14671;STALLMAN;0.43;0.49;2;135;3;0;1;0;accounting;medium;2
11390;LARIMER;0.49;0.6;4;264;2;1;0;0;product_mng;low;1
3413;LEA;0.85;0.97;3;256;3;0;1;0;support;low;1
6250;CASHMAN;0.49;0.94;5;136;3;0;1;0;product_mng;medium;2
7377;TOWLE;0.65;0.77;4;273;2;0;1;0;support;high;3
13594;RUCK;0.86;0.89;4;153;4;0;1;0;sales;low;1
6968;MCLOUGHLIN;0.85;0.97;4;210;2;0;0;0;sales;medium;2
8547;KARNS;0.7;0.57;5;247;3;0;1;0;RandD;low;1
7264;DECASTRO;0.23;0.94;4;142;4;0;4;0;sales;medium;2
1886;RICKS;0.11;0.86;6;286;4;0;4;0;support;low;1
3764;BALTAZAR;0.8;0.68;4;157;3;0;0;0;sales;medium;2
867;BENJAMIN;0.42;0.56;2;128;3;0;1;0;accounting;low;1
773;FROST;0.42;0.54;2;159;3;0;1;0;sales;medium;2
11801;BAUMGART;0.9;0.56;3;151;3;0;0;0;sales;medium;2
5452;DENMAN;0.5;0.73;4;271;2;0;4;0;hr;low;1
3031;HAGGERTY;0.98;0.8;4;134;2;1;0;0;support;medium;2
8855;FULKS;0.82;0.76;3;174;3;0;1;0;sales;medium;2
13160;STACKS;0.49;0.67;3;140;2;0;0;0;hr;medium;2
9386;TRADER;0.78;0.56;3;271;4;0;1;0;marketing;medium;2
6105;LEFEVRE;0.67;0.84;4;197;2;0;1;0;RandD;low;1
10857;KINKADE;0.6;0.96;4;220;3;1;0;1;sales;medium;2
14985;SAN;0.91;0.99;5;254;5;0;1;0;technical;medium;2
10068;SPEICHER;0.87;0.66;3;270;2;0;0;0;product_mng;low;1
13633;ERLANDSON;0.55;0.58;3;254;2;0;0;0;management;high;3
14310;ECKLEY;0.9;1.0;5;221;6;0;1;0;sales;medium;2
2463;LOYD;0.79;0.57;3;250;3;0;1;0;sales;low;1
10142;VASQUES;0.91;0.6;5;150;3;0;0;0;product_mng;medium;2
11158;KALB;0.69;0.55;3;172;2;0;0;0;technical;medium;2
1325;GORE;0.42;0.53;2;131;3;0;1;0;accounting;medium;2
8024;SCHAFFNER;0.52;0.37;3;137;4;0;3;0;sales;low;1
3446;STRAUB;0.67;0.44;5;212;4;0;1;0;sales;low;1
9390;CALE;0.66;0.57;4;220;2;1;0;0;support;medium;2
1559;GALLO;0.77;0.82;4;217;5;0;0;0;hr;medium;2
13925;SPELLS;0.51;0.75;3;133;3;0;1;0;sales;medium;2
8384;TROST;0.96;0.87;4;213;3;0;0;0;IT;medium;2
7711;AGUSTIN;0.96;0.57;3;263;3;0;1;0;support;low;1
5374;VANDIVER;0.58;0.62;5;184;3;0;2;0;hr;low;1
1201;COURTNEY;0.1;0.77;5;252;4;0;3;0;technical;medium;2
3489;STAGGS;0.86;0.93;2;260;2;0;1;0;support;low;1
5154;ORTON;0.54;0.75;3;260;2;0;4;0;technical;low;1
9832;MINARD;0.91;0.75;3;166;2;0;0;0;IT;low;1
9583;POPPE;0.85;0.99;6;153;6;0;0;0;technical;medium;2
4035;RESENDEZ;0.59;0.69;3;146;3;0;0;0;product_mng;medium;2
7676;NIEMANN;0.87;0.57;4;175;2;1;0;0;technical;low;1
7227;MONTE;0.89;0.9;4;101;6;0;0;0;support;medium;2
1283;HARDEN;0.4;0.55;2;150;3;0;1;0;IT;medium;2
7078;BAUCOM;0.83;0.79;4;270;3;1;0;0;support;medium;2
1564;OHARA;0.12;0.8;5;136;2;0;3;0;technical;low;1
13977;BOYES;0.76;0.85;3;192;3;0;1;0;marketing;low;1
13179;BAUMER;0.63;0.91;4;252;3;1;0;0;support;medium;2
7619;WIRTZ;0.72;0.82;4;231;3;0;2;0;IT;low;1
8887;ROBILLARD;0.99;0.54;4;196;4;1;0;0;hr;high;3
3649;FAIRBANKS;0.64;0.72;5;158;3;0;0;0;IT;medium;2
7821;CAPLAN;0.42;0.41;5;240;2;0;2;0;technical;medium;2
6215;ROLL;0.55;0.98;2;144;2;0;3;0;hr;medium;2
13707;DWIGHT;0.31;0.86;3;266;7;0;4;0;sales;low;1
7822;SOUDER;0.69;0.76;3;153;3;0;1;0;technical;medium;2
11452;KELTNER;0.82;0.51;2;268;2;0;0;0;management;high;3
11481;LOBDELL;0.83;0.73;4;157;2;0;0;0;RandD;medium;2
11254;JUNKER;0.24;0.94;6;144;4;0;3;0;product_mng;low;1
14440;MECHE;0.78;0.98;5;239;6;0;3;0;marketing;low;1
6285;BODINE;0.91;0.69;5;240;3;0;0;0;sales;medium;2
6473;WOODFORD;0.88;0.8;3;166;2;0;1;0;IT;low;1
3854;BRATCHER;0.53;0.45;4;180;3;0;1;0;technical;medium;2
11265;MOSTELLER;0.18;0.75;3;142;2;0;3;0;product_mng;low;1
12051;WYSE;0.44;0.55;2;135;3;0;2;0;support;low;1
4496;SPARROW;0.86;0.88;4;220;2;0;0;0;product_mng;low;1
948;ROLLINS;0.61;0.86;4;196;4;0;1;0;hr;low;1
1734;STORY;0.11;0.88;7;275;4;0;3;0;support;low;1
1034;LAKE;0.1;0.86;6;266;4;1;3;0;technical;low;1
7319;SUTPHIN;0.81;0.95;3;204;2;0;1;0;product_mng;low;1
10690;CRAY;0.9;0.88;5;254;2;0;0;0;marketing;medium;2
12344;COLONNA;0.37;0.52;2;155;3;0;2;0;technical;medium;2
10958;MANNO;0.88;0.72;5;244;2;0;0;0;technical;low;1
12948;CUMBERLAND;0.7;0.95;4;231;3;0;1;0;support;medium;2
1937;OMALLEY;0.36;0.52;2;143;3;0;1;0;accounting;medium;2
2257;NUNN;0.99;0.75;3;215;3;0;0;0;technical;low;1
600;NASH;0.77;0.98;5;259;6;0;1;0;product_mng;low;1
12182;SPINK;0.89;0.99;5;257;5;0;1;0;accounting;medium;2
4434;JOSE;0.66;0.68;4;152;3;0;0;0;marketing;high;3
12391;CORNWALL;0.45;0.55;2;148;3;0;2;0;sales;low;1
10877;HOVER;0.52;0.98;5;217;2;1;0;0;technical;low;1
7645;MULDOON;0.59;0.86;4;260;2;0;2;0;sales;medium;2
8938;LAMONTAGNE;0.49;0.87;4;171;3;1;1;0;marketing;medium;2
9412;BOBADILLA;0.65;0.63;3;137;3;0;0;0;sales;high;3
6057;PUGA;0.63;0.49;3;252;3;0;2;0;sales;medium;2
1773;SPAULDING;0.11;0.87;6;273;4;0;4;0;sales;low;1
7698;AUGER;0.96;0.6;4;170;2;1;0;0;product_mng;low;1
13221;FRAY;0.62;0.91;3;269;8;0;4;0;support;medium;2
7085;SHUSTER;0.88;0.6;2;168;3;0;1;0;IT;low;1
185;PIERCE;0.4;0.46;2;127;3;0;1;0;hr;medium;2
5911;HATTEN;0.75;0.5;4;155;2;1;0;0;hr;low;1
7610;COLMAN;0.49;0.83;2;185;6;0;4;0;support;medium;2
10369;TURNBOW;0.86;0.59;4;189;2;0;0;0;IT;low;1
5707;BYRUM;0.56;0.55;3;250;4;0;3;0;technical;medium;2
12456;HEBB;0.86;0.93;5;223;5;0;1;0;RandD;medium;2
5956;MADER;0.74;0.86;4;221;2;1;0;0;accounting;low;1
7909;JOSEY;0.81;0.51;3;247;2;0;1;0;support;medium;2
2686;SCHOFIELD;0.5;0.96;4;147;3;0;1;0;sales;low;1
5740;MARRA;0.51;0.96;3;192;3;0;3;0;sales;medium;2
14453;MITTS;0.38;0.53;2;156;3;0;3;0;sales;low;1
11373;OVERBEY;0.42;0.45;3;227;3;0;1;0;sales;medium;2
6188;HAUN;0.76;0.99;3;216;3;0;3;0;marketing;low;1
3870;BANDY;0.2;0.93;4;101;5;0;3;0;support;low;1
13586;LAFORGE;1.0;0.93;5;167;3;0;0;0;sales;medium;2
7000;WINE;0.56;0.76;3;207;2;0;2;0;support;medium;2
14779;LAMON;0.44;0.51;2;134;3;0;1;0;hr;medium;2
14234;BLUMER;0.46;0.57;2;139;3;0;2;0;sales;low;1
2921;LARUE;0.79;0.89;4;240;3;0;0;0;sales;medium;2
597;PHELPS;0.11;0.9;6;263;4;0;3;0;IT;low;1
3175;KOONTZ;0.75;0.96;3;252;3;0;0;0;technical;medium;2
12392;LOOSE;0.84;1.0;4;261;5;0;2;0;sales;low;1
1815;TOBIN;0.11;0.8;7;305;4;0;3;0;technical;medium;2
10128;ODEA;0.64;0.61;4;143;2;1;0;0;support;high;3
2816;HOSTETLER;0.95;0.45;3;225;2;0;0;0;product_mng;low;1
14116;HOLDSWORTH;0.21;0.85;6;285;7;0;4;0;sales;medium;2
5067;DOANE;0.89;0.62;5;144;2;0;0;0;hr;low;1
13674;STEVE;0.8;0.7;4;246;3;0;0;1;marketing;low;1
249;DEAN;0.11;0.84;6;298;4;0;4;0;sales;low;1
7585;DESMARAIS;0.74;0.9;3;285;3;0;3;0;accounting;low;1
11707;BRAMAN;0.43;0.66;4;135;2;0;0;0;IT;high;3
426;WOLF;0.74;0.92;4;261;5;0;1;0;technical;medium;2
14019;SWILLEY;0.69;0.9;5;103;5;0;1;0;product_mng;low;1
1437;NEWSOME;0.4;0.53;2;155;3;0;1;0;IT;high;3
12852;LEGGE;0.93;0.59;3;202;2;0;0;0;hr;high;3
13216;NEER;0.19;0.83;5;280;4;0;4;0;RandD;low;1
12470;SHORTRIDGE;0.1;0.85;6;260;4;0;4;0;sales;low;1
14555;HERBER;0.37;0.52;2;155;3;0;2;0;technical;medium;2
12663;HOGGE;0.1;0.79;6;256;5;0;4;0;support;low;1
1432;POE;0.91;0.99;5;265;5;1;0;0;technical;medium;2
1075;FINCH;0.74;0.89;4;267;5;0;1;0;sales;medium;2
4640;GOSNELL;0.98;0.56;3;157;2;0;0;0;management;low;1
7075;BILODEAU;0.3;0.47;6;156;2;1;0;0;support;medium;2
883;MAYNARD;0.37;0.51;2;128;3;0;1;0;technical;medium;2
10885;HARGER;0.73;0.94;4;262;3;0;1;0;support;low;1
3417;DEHART;0.71;0.69;2;172;3;0;0;0;technical;medium;2
7261;COSENTINO;0.58;0.86;4;257;3;0;4;0;sales;low;1
12144;HACKBARTH;0.84;0.99;4;267;5;0;2;0;product_mng;low;1
10772;MASSON;0.92;0.83;4;268;4;0;1;0;sales;low;1
1419;POLLOCK;0.75;0.87;5;246;5;0;1;0;technical;low;1
2321;BARTH;1.0;0.65;4;202;4;1;0;0;hr;low;1
8740;PERA;0.56;0.96;2;269;2;0;4;0;technical;low;1
12701;BURCHARD;0.89;0.82;4;243;5;0;1;0;sales;medium;2
13369;NEASE;0.69;0.55;3;172;2;0;0;0;technical;medium;2
1417;LARKIN;0.11;0.96;6;301;5;0;4;0;technical;low;1
12735;CHAREST;0.83;0.99;5;258;5;0;1;0;support;high;3
7460;GLISSON;0.46;0.66;6;229;3;0;2;0;support;medium;2
9960;HAUSMAN;0.51;0.79;5;222;2;0;3;0;technical;low;1
4759;PATERSON;0.65;0.65;4;224;3;0;1;0;sales;low;1
5671;LAURENT;0.75;0.96;5;190;3;0;1;0;sales;medium;2
3818;HOKE;0.39;0.56;6;228;5;0;1;0;technical;medium;2
13664;TOBLER;0.74;0.71;3;206;3;0;0;0;management;high;3
9484;FEINSTEIN;0.75;0.49;4;246;3;1;0;0;sales;low;1
6168;CAPONE;0.82;0.5;3;198;4;0;0;0;IT;medium;2
8410;SPINDLER;0.75;0.67;4;135;2;0;0;0;sales;high;3
6542;SIMONDS;0.71;0.6;2;251;3;0;3;0;support;low;1
6767;EWALD;0.73;0.95;3;149;2;0;2;0;support;low;1
10353;DEATHERAGE;0.45;0.43;4;253;4;0;2;0;support;medium;2
